Location,Issue,Suggestion,Demo Usage,Type
/mnt/data/SecureBond_extracted/SecureBond/test-geolocation.js,Unstripped 'console.log' – should be removed in production,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/tailwind.config.ts,Mixed module systems (CommonJS + ESModules),,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/client/src/hooks/useErrorContext.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/client/src/hooks/usePrivacyAcknowledgment.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/client/src/lib/api.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/courtReminderService.ts,Unstripped 'console.log' – should be removed in production,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/courtReminderService.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/courtScraper.ts,Unstripped 'console.log' – should be removed in production,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/courtScraper.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/index.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/local-db-corrupted.ts,Unstripped 'console.log' – should be removed in production,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/local-db-corrupted.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/local-db.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/replitAuth.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/routes.ts,Unstripped 'console.log' – should be removed in production,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/routes.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/storage.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/vite.ts,Unstripped 'console.log' – should be removed in production,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/middleware/audit.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/middleware/auth.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/middleware/performance.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/middleware/security.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/middleware/securityAudit.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/routes/admin.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/routes/dashboard.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/services/arrestLogScraper.ts,Unstripped 'console.log' – should be removed in production,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/services/geolocationService.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/services/notificationService.ts,Unstripped 'console.log' – should be removed in production,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/services/notificationService.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/services/sendgrid.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/utils/auditLogger.ts,Unstripped 'console.log' – should be removed in production,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/utils/auditLogger.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/utils/locationTracker.ts,Unstripped 'console.log' – should be removed in production,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/utils/locationTracker.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/utils/logger.ts,Unstripped 'console.log' – should be removed in production,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/server/utils/logger.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/mnt/data/SecureBond_extracted/SecureBond/shared/schema.ts,Use of 'any' type – reduces type safety,,,Static Code Issue
/api/data/backup,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/data/backup"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/analytics/client-behavior,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/analytics/client-behavior"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/check-ins,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/check-ins"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/client/court-dates,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/client/court-dates"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/data/export,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/data/export"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/admin/client-locations/real-time,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/admin/client-locations/real-time"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/court-scraping/config,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/court-scraping/config"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/dashboard/recent-activity,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/dashboard/recent-activity"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/arrest-monitoring/public-logs,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/arrest-monitoring/public-logs"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/admin/location/patterns,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/admin/location/patterns"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/system/security/events,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/system/security/events"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/messages,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/messages"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/admin/trigger-reminders,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/admin/trigger-reminders"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/admin/test-email,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/admin/test-email"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
